point,area,type,months,total1,total2,monthly1,monthly2,total3
廣亞學校財團法人育達科技大學附設苗栗縣私立廣秀森林幼兒園,造橋鄉,私立,12,174000,0,14500,0,174000
社團法人中華民國文教產業發展暨補習服務品保協會附設苗栗縣私立頭份幼兒園（苗栗縣頭份市公所委託辦理）,頭份市,私立,12,85320,9000,7110,750,85320
苗栗縣三灣鄉三灣國民小學附設幼兒園,三灣鄉,公立,9,30900,0,3433,0,30900
苗栗縣三灣鄉立幼兒園,三灣鄉,公立,12,36800,0,3067,0,36800
苗栗縣三義鄉僑成國民小學附設幼兒園,三義鄉,公立,9,30900,0,3433,0,30900
苗栗縣三義鄉建中國民小學附設幼兒園,三義鄉,公立,9,28000,200,3111,22,28000
苗栗縣三義鄉育英國民小學附設幼兒園,三義鄉,公立,9,30900,200,3433,22,30900
苗栗縣三義鄉鯉魚國民小學附設幼兒園,三義鄉,公立,9,31800,200,3533,22,31800
苗栗縣公館鄉仁愛國民小學附設幼兒園,公館鄉,公立,9,32700,200,3633,22,32700
苗栗縣公館鄉公館國民小學附設幼兒園,公館鄉,公立,9,30600,0,3400,0,30600
苗栗縣公館鄉福基國民小學附設幼兒園,公館鄉,公立,9,31800,200,3533,22,31800
苗栗縣公館鄉鶴岡國民小學附設幼兒園,公館鄉,公立,9,30900,0,3433,0,30900
苗栗縣卓蘭鎮內灣國民小學附設幼兒園,卓蘭鎮,公立,9,30900,0,3433,0,30900
苗栗縣卓蘭鎮卓蘭國民小學附設幼兒園,卓蘭鎮,公立,9,30900,200,3433,22,30900
苗栗縣卓蘭鎮立幼兒園,卓蘭鎮,公立,11,34200,0,3109,0,34200
苗栗縣卓蘭鎮立幼兒園坪林分班,卓蘭鎮,公立,11,34200,0,3109,0,34200
苗栗縣卓蘭鎮立幼兒園景山分班,卓蘭鎮,公立,11,34200,0,3109,0,34200
苗栗縣卓蘭鎮豐田國民小學附設幼兒園,卓蘭鎮,公立,9,30900,0,3433,0,30900
苗栗縣南庄鄉南埔國民小學附設幼兒園,南庄鄉,公立,9,29100,0,3233,0,29100
苗栗縣南庄鄉南庄國民小學附設幼兒園,南庄鄉,公立,9,29100,0,3233,0,29100
苗栗縣南庄鄉東河國民小學附設幼兒園,南庄鄉,公立,9,28200,0,3133,0,28200
苗栗縣南庄鄉田美國民小學附設幼兒園,南庄鄉,公立,9,30900,0,3433,0,30900
苗栗縣南庄鄉立幼兒園,南庄鄉,公立,10,23600,0,2360,0,23600
苗栗縣南庄鄉蓬萊國民小學附設幼兒園,南庄鄉,公立,9,27300,0,3033,0,27300
苗栗縣大湖鄉南湖國民小學附設幼兒園,大湖鄉,公立,9,32700,200,3633,22,32700
苗栗縣大湖鄉大南國民小學附設幼兒園,大湖鄉,公立,9,32700,200,3633,22,32700
