point,area,type,months,total1,total2,monthly1,monthly2
嘉義市私立中國娃娃幼兒園,嘉義市,私立,12,102000,0,8500,0
嘉義市私立中正幼兒園,嘉義市,私立,12,134400,0,11200,0
嘉義市私立佳北幼兒園,嘉義市,私立,12,96000,0,8000,0
嘉義市私立佳寶幼兒園,嘉義市,私立,12,93600,32400,7800,2700
嘉義市私立信義幼兒園,嘉義市,準公共化,12,105108,9000,8759,750
嘉義市私立優肯幼兒園,嘉義市,私立,12,143600,0,11967,0
嘉義市私立北興幼兒園,嘉義市,準公共化,12,120704,9000,10059,750
嘉義市私立吉尼爾幼兒園,嘉義市,私立,10,135500,0,13550,0
嘉義市私立和睦幼兒園,嘉義市,準公共化,12,101580,9000,8465,750
嘉義市私立大能力幼兒園,嘉義市,私立,12,123200,0,10267,0
嘉義市私立天欣幼兒園,嘉義市,私立,12,92000,0,7667,0
嘉義市私立小叮噹幼兒園,嘉義市,準公共化,12,84564,454680,7047,37890
嘉義市私立小狀元幼兒園,嘉義市,準公共化,12,84980,9000,7082,750
嘉義市私立小魚幼兒園,嘉義市,私立,12,113600,0,9467,0
嘉義市私立幼華幼兒園,嘉義市,私立,12,134400,18000,11200,1500
嘉義市私立忠樺幼兒園,嘉義市,私立,12,130800,0,10900,0
嘉義市私立恩光幼兒園,嘉義市,準公共化,12,98256,9000,8188,750
嘉義市私立想像幼兒園,嘉義市,私立,12,100800,0,8400,0
嘉義市私立愛兒堡幼兒園,嘉義市,私立,12,132000,0,11000,0
嘉義市私立愛兒幼兒園,嘉義市,準公共化,12,115584,9000,9632,750
嘉義市私立慈幼幼兒園,嘉義市,私立,12,134400,14400,11200,1200
嘉義市私立教之道幼兒園,嘉義市,準公共化,12,92212,0,7684,0
嘉義市私立東之寶幼兒園,嘉義市,準公共化,12,103848,9000,8654,750
嘉義市私立林肯幼兒園,嘉義市,準公共化,12,144000,9000,12000,750
嘉義市私立桑尼種子幼兒園,嘉義市,準公共化,12,136732,9000,11394,750
嘉義市私立百合幼兒園,嘉義市,私立,12,113600,0,9467,0
嘉義市私立磐石幼兒園,嘉義市,準公共化,12,140544,9000,11712,750
嘉義市私立種子幼兒園,嘉義市,私立,12,136000,0,11333,0
嘉義市私立精英幼兒園,嘉義市,準公共化,12,114048,9000,9504,750
嘉義市私立綠光森林幼兒園,嘉義市,私立,12,72000,0,6000,0
嘉義市私立美的幼兒園,嘉義市,私立,12,132000,0,11000,0
嘉義市私立育光幼兒園,嘉義市,私立,12,36396,0,3033,0
嘉義市私立育志幼兒園,嘉義市,私立,12,128400,14400,10700,1200
嘉義市私立諾爾堡幼兒園,嘉義市,私立,12,170000,0,14167,0
嘉義市私立貝萊登幼兒園,嘉義市,準公共化,12,109008,9000,9084,750
嘉義市私立陽光幼兒園,嘉義市,私立,12,117600,24000,9800,2000
嘉義市私立雨果幼兒園,嘉義市,私立,12,160400,0,13367,0
嘉義市立吳鳳幼兒園,嘉義市,公立,9,29759,200,3307,22
嘉義市立幸福幼兒園,嘉義市,公立,9,29759,200,3307,22
嘉義市立復國幼兒園,嘉義市,公立,9,29759,200,3307,22
嘉義市西區北園國民小學附設幼兒園,嘉義市,公立,9,29759,200,3307,22
國立嘉義大學附設實驗國民小學附設幼兒園,嘉義市,公立,9,29759,0,3307,0
戴德森醫療財團法人職工福利委員會附設嘉義市私立嘉基幼兒園,嘉義市,準公共化,12,119000,41400,9917,3450
私立東吳高級工業家事職業學校附設嘉義市幼兒園,嘉義市,私立,12,117000,0,9750,0
財團法人中華基督教嘉義浸信會附設嘉義市私立慈光幼兒園,嘉義市,私立,12,129000,0,10750,0
財團法人台灣聖公會附設嘉義市私立聖彼得幼兒園,嘉義市,私立,12,96250,0,8021,0
財團法人嘉義市私立榮光幼兒園,嘉義市,私立,12,92000,0,7667,0
財團法人天主教會嘉義教區附設嘉義市私立仁愛幼兒園,嘉義市,準公共化,12,98364,9000,8197,750
財團法人天主教會嘉義教區附設嘉義市私立景仁幼兒園,嘉義市,準公共化,12,129192,0,10766,0
財團法人天主教會嘉義教區附設嘉義市私立正義幼兒園,嘉義市,準公共化,12,97028,9000,8086,750
財團法人天主教聖言會附設嘉義市私立輔仁幼兒園,嘉義市,私立,12,96000,0,8000,0
