point,area,type,months,total1,total2,monthly1,monthly2,total3
台灣積體電路製造股份有限公司職工福利委員會附設臺中市私立台積電幼兒園,大雅區,私立,12,176400,25200,14700,2100,176400
四季仁美教育事業股份有限公司附設臺中市私立仁美四季藝術幼兒園,北屯區,私立,12,376000,18000,31333,1500,376000
四季北屯教育事業股份有限公司附設臺中市私立北屯四季藝術幼兒園,北屯區,私立,12,219800,13200,18317,1100,219800
四季市政教育事業股份有限公司附設臺中市私立四季藝術幼兒園,南屯區,私立,12,219800,13200,18317,1100,219800
四季市政教育事業股份有限公司附設臺中市私立市政四季藝術幼兒園,南屯區,私立,12,168000,13200,14000,1100,168000
四季西屯教育事業股份有限公司附設臺中市私立西屯四季藝術幼兒園,西屯區,私立,12,219800,13200,18317,1100,219800
四季黎明教育事業股份有限公司附設臺中市私立黎明四季藝術幼兒園,南屯區,私立,12,290600,13200,24217,1100,290600
國立臺中教育大學附設實驗國民小學附設幼兒園,北區,公立,9.2,38684,200,4205,22,38684
明德學校財團法人臺中市明德高級中學附設臺中市私立明德幼兒園,南區,私立,10,125600,6000,12560,600,125600
歐森烏日教育事業股份有限公司附設臺中市私立鷗森烏日幼兒園,烏日區,私立,12,186600,13500,15550,1125,186600
正和書院附設臺中市私立光明幼兒園,烏日區,私立,12,96000,0,8000,0,96000
灝學股份有限公司附設臺中市私立欣丹尼兒幼兒園,大里區,私立,12,288000,18000,24000,1500,288000
無限開發股份有限公司附設臺中市私立大甲優生幼兒園,大甲區,私立,12,156000,9000,13000,750,156000
私立慈明高級中學附設臺中市幼兒園,太平區,準公共化,12,109680,9000,9140,750,109680
私立朝陽科技大學附設臺中市幼兒園,霧峰區,私立,12,148000,9000,12333,750,148000
私立育仁國民小學附設臺中市幼兒園,北區,私立,10,70100,0,7010,0,70100
臺中市中區光復國民小學附設幼兒園,中區,公立,9.2,38684,15720,4205,1709,38684
臺中市北區中華國民小學附設幼兒園,北區,公立,9.2,38684,200,4205,22,38684
臺中市北區健行國民小學附設幼兒園,北區,公立,9.2,38684,200,4205,22,38684
臺中市北區太平國民小學附設幼兒園,北區,公立,9.2,38684,200,4205,22,38684
臺中市北區省三國民小學附設幼兒園,北區,公立,9.2,38684,200,4205,22,38684
臺中市北區立人國民小學附設幼兒園,北區,公立,9.2,38684,0,4205,0,38684
臺中市北區篤行國民小學附設幼兒園,北區,公立,9.2,38684,200,4205,22,38684
臺中市北屯區仁愛國民小學附設幼兒園,北屯區,公立,9.2,38684,200,4205,22,38684
臺中市北屯區僑孝國民小學附設幼兒園,北屯區,公立,9.2,38684,200,4205,22,38684
臺中市北屯區北屯國民小學附設幼兒園,北屯區,公立,9.2,38684,0,4205,0,38684
臺中市北屯區四張犁國民小學附設幼兒園,北屯區,公立,9.2,38684,0,4205,0,38684
臺中市北屯區四維國民小學附設幼兒園,北屯區,公立,9.2,38684,200,4205,22,38684
臺中市北屯區大坑國民小學附設幼兒園,北屯區,公立,9.2,38684,0,4205,0,38684
臺中市北屯區文心國民小學附設幼兒園,北屯區,公立,9.2,38684,200,4205,22,38684
臺中市北屯區新興國民小學附設幼兒園,北屯區,公立,9.2,38684,0,4205,0,38684
臺中市北屯區東光國民小學附設幼兒園,北屯區,公立,9.2,38684,200,4205,22,38684
臺中市北屯區松竹國民小學附設幼兒園,北屯區,公立,9.2,38684,200,4205,22,38684
臺中市北屯區軍功國民小學附設幼兒園,北屯區,公立,9.2,38684,200,4205,22,38684
臺中市南區信義國民小學附設幼兒園,南區,公立,9.2,38684,0,4205,0,38684
臺中市南區和平國民小學附設幼兒園,南區,公立,9.2,38684,200,4205,22,38684
臺中市南區國光國民小學附設幼兒園,南區,公立,9.2,38684,200,4205,22,38684
臺中市南屯區南屯國民小學附設幼兒園,南屯區,公立,9.2,38684,0,4205,0,38684
臺中市南屯區文山國民小學附設幼兒園,南屯區,公立,9.2,38684,0,4205,0,38684
臺中市南屯區春安國民小學附設幼兒園,南屯區,公立,9.2,38684,200,4205,22,38684
臺中市南屯區鎮平國民小學附設幼兒園,南屯區,公立,9.2,38684,200,4205,22,38684
臺中市南屯區黎明國民小學附設幼兒園,南屯區,公立,9.2,38684,200,4205,22,38684
臺中市后里區月眉國民小學附設幼兒園,后里區,公立,9.2,38684,0,4205,0,38684
臺中市后里區泰安國民小學附設幼兒園,后里區,公立,9.2,38684,0,4205,0,38684
臺中市和平區和平國民小學附設幼兒園,和平區,公立,9.2,38684,200,4205,22,38684
臺中市和平區德芙蘭國民小學附設幼兒園,和平區,公立,9.2,38684,200,4205,22,38684
臺中市和平區白冷國民小學附設幼兒園,和平區,公立,9.2,38684,0,4205,0,38684
臺中市和平區立幼兒園,和平區,公立,11,42370,0,3852,0,42370
臺中市和平區立幼兒園環山分班,和平區,公立,11,42370,0,3852,0,42370
臺中市和平區立幼兒園達觀分班,和平區,公立,11,42370,0,3852,0,42370
臺中市和平區立幼兒園雙崎分班,和平區,公立,11,42370,0,3852,0,42370
臺中市外埔區外埔國民小學附設幼兒園,外埔區,公立,9.2,38684,0,4205,0,38684
臺中市外埔區安定國民小學附設幼兒園,外埔區,公立,9.2,38684,0,4205,0,38684
臺中市外埔區水美國民小學附設幼兒園,外埔區,公立,9.2,38684,0,4205,0,38684
臺中市外埔區鐵山國民小學附設幼兒園,外埔區,公立,9.2,38684,0,4205,0,38684
臺中市外埔區馬鳴國民小學附設幼兒園,外埔區,公立,9.2,38684,0,4205,0,38684
臺中市大安區大安國民小學附設幼兒園,大安區,公立,9.2,38684,200,4205,22,38684
臺中市大安區永安國民小學附設幼兒園,大安區,公立,9.2,38684,200,4205,22,38684
臺中市大安區海墘國民小學附設幼兒園,大安區,公立,9.2,38684,200,4205,22,38684
臺中市大甲區大甲國民小學附設幼兒園,大甲區,公立,9.2,38684,0,4205,0,38684
臺中市大甲區德化國民小學附設幼兒園,大甲區,公立,9.2,38684,0,4205,0,38684
