point,area,type,months,total1,total2,monthly1,monthly2,total3
屏東縣三地門鄉地磨兒國民小學附設幼兒園德文分班,三地門鄉,公立,9,25160,0,2796,0,25160
屏東縣三地門鄉立幼兒園,三地門鄉,公立,10,26000,0,2600,0,26000
屏東縣三地門鄉立幼兒園口社分班,三地門鄉,公立,10,26000,0,2600,0,26000
屏東縣三地門鄉立幼兒園青山分班,三地門鄉,公立,10,26000,0,2600,0,26000
屏東縣三地門鄉立幼兒園青葉分班,三地門鄉,公立,10,26000,0,2600,0,26000
屏東縣三地門鄉馬兒社區互助教保服務中心(三地門鄉馬兒社區發展協會),三地門鄉,私立,12,54878,0,4573,0,54878
屏東縣九如鄉後庄國民小學附設幼兒園,九如鄉,公立,9,31380,200,3487,22,31380
屏東縣佳冬鄉塭子國民小學附設幼兒園,佳冬鄉,公立,9,27570,0,3063,0,27570
屏東縣佳冬鄉立幼兒園,佳冬鄉,公立,11,40900,0,3718,0,40900
屏東縣來義鄉來義國民小學附設幼兒園,來義鄉,公立,9,28400,0,3156,0,28400
屏東縣來義鄉南和國民小學附設幼兒園,來義鄉,公立,9,24918,0,2769,0,24918
屏東縣來義鄉立幼兒園,來義鄉,公立,11,25000,0,2273,0,25000
屏東縣來義鄉立幼兒園義林分班,來義鄉,公立,11,25000,0,2273,0,25000
屏東縣內埔鄉內埔國民小學附設幼兒園,內埔鄉,公立,9,34200,0,3800,0,34200
屏東縣內埔鄉崇文國民小學附設幼兒園,內埔鄉,公立,9,33436,200,3715,22,33436
屏東縣內埔鄉泰安國民小學附設幼兒園,內埔鄉,公立,9,34590,0,3843,0,34590
屏東縣內埔鄉隘寮國民小學附設幼兒園,內埔鄉,公立,9,33450,0,3717,0,33450
屏東縣南州鄉南州國民小學附設幼兒園,南州鄉,公立,9,30740,0,3416,0,30740
屏東縣屏東市公館國民小學附設幼兒園,屏東市,公立,9,34440,0,3827,0,34440
屏東縣屏東市前進國民小學附設幼兒園,屏東市,公立,9,34288,0,3810,0,34288
屏東縣屏東市唐榮國民小學附設幼兒園,屏東市,公立,9,34380,0,3820,0,34380
屏東縣屏東市建國國民小學附設幼兒園,屏東市,公立,9,34440,200,3827,22,34440
屏東縣恆春鎮恆春國民小學附設幼兒園,恆春鎮,公立,9,33350,200,3706,22,33350
屏東縣新園鄉港西國民小學附設幼兒園,新園鄉,公立,9,33100,200,3678,22,33100
屏東縣新園鄉烏龍國民小學附設幼兒園,新園鄉,公立,9,33044,0,3672,0,33044
屏東縣新園鄉瓦磘國民小學附設幼兒園,新園鄉,公立,9,35040,200,3893,22,35040
屏東縣新園鄉鹽洲國民小學附設幼兒園,新園鄉,公立,9,31972,0,3552,0,31972
屏東縣新埤鄉新埤國民小學附設幼兒園,新埤鄉,公立,9,35440,0,3938,0,35440
屏東縣新埤鄉立幼兒園,新埤鄉,公立,12,43920,0,3660,0,43920
屏東縣春日鄉古華國民小學附設幼兒園,春日鄉,公立,9,27420,0,3047,0,27420
屏東縣春日鄉春日國民小學附設幼兒園,春日鄉,公立,9,25280,100,2809,11,25280
屏東縣東港鎮以栗國民小學附設幼兒園,東港鎮,公立,9,31800,200,3533,22,31800
屏東縣東港鎮大潭國民小學附設幼兒園,東港鎮,公立,9,31020,200,3447,22,31020
屏東縣枋寮鄉僑德國民小學附設幼兒園,枋寮鄉,公立,9,31780,0,3531,0,31780
屏東縣枋寮鄉東海國民小學附設幼兒園,枋寮鄉,公立,9,30380,0,3376,0,30380
屏東縣枋山鄉立幼兒園,枋山鄉,公立,10,25000,0,2500,0,25000
屏東縣枋山鄉立幼兒園加祿分班,枋山鄉,公立,10,25000,0,2500,0,25000
屏東縣枋山鄉立幼兒園枋山分班,枋山鄉,公立,10,25000,0,2500,0,25000
屏東縣枋山鄉立幼兒園楓港分班,枋山鄉,公立,10,25000,0,2500,0,25000
屏東縣泰武鄉佳平部落互助教保服務中心(泰武鄉佳平社區發展協會辦理),泰武鄉,私立,12,53448,0,4454,0,53448
屏東縣泰武鄉平和社區互助教保服務中心(泰武鄉平和社區發展協會辦理),泰武鄉,私立,12,46590,0,3883,0,46590
屏東縣泰武鄉泰武國民小學附設幼兒園,泰武鄉,公立,9,23350,0,2594,0,23350
屏東縣泰武鄉立幼兒園,泰武鄉,公立,11,25300,0,2300,0,25300
屏東縣潮州鎮潮南國民小學附設幼兒園,潮州鎮,公立,9,30740,0,3416,0,30740
屏東縣潮州鎮潮東國民小學附設幼兒園,潮州鎮,公立,9,33020,0,3669,0,33020
屏東縣潮州鎮立幼兒園,潮州鎮,公立,11.5,36950,0,3213,0,36950
屏東縣牡丹鄉旭海社區互助教保服務中心(牡丹鄉旭海社區發展協會辦理),牡丹鄉,私立,12,58990,0,4916,0,58990
屏東縣牡丹鄉立幼兒園,牡丹鄉,公立,9,15800,0,1756,0,15800
屏東縣牡丹鄉立幼兒園牡丹分班,牡丹鄉,公立,9,15800,0,1756,0,15800
屏東縣牡丹鄉高士國民小學附設幼兒園,牡丹鄉,公立,9,27400,200,3044,22,27400
屏東縣牡丹鄉高士國民小學附設幼兒園牡林分班,牡丹鄉,公立,9,27400,200,3044,22,27400
屏東縣獅子鄉丹路國民小學附設幼兒園,獅子鄉,公立,9,23900,0,2656,0,23900
