point,area,type,months,total1,total2,monthly1,monthly2,total3
澎湖縣湖西鄉立幼兒園,湖西鄉,公立,10.5,32900,0,3133,0,32900
澎湖縣白沙鄉吉貝國民小學附設幼兒園,白沙鄉,公立,9,33872,200,3764,22,33872
澎湖縣白沙鄉立幼兒園,白沙鄉,公立,10,32200,0,3220,0,32200
澎湖縣白沙鄉立幼兒園吉貝分班,白沙鄉,公立,10,32200,0,3220,0,32200
澎湖縣私立明圓幼兒園,馬公市,準公共化,12,141300,0,11775,0,141300
澎湖縣私立明穗幼兒園,馬公市,私立,12,172400,48000,14367,4000,172400
澎湖縣私立耕讀幼兒園,馬公市,準公共化,12,127212,0,10601,0,127212
澎湖縣私立至美幼兒園,馬公市,私立,12,172400,48000,14367,4000,172400
澎湖縣私立馬幼幼兒園,馬公市,準公共化,12,131940,0,10995,0,131940
澎湖縣西嶼鄉池東國民小學附設幼兒園,西嶼鄉,公立,9,33872,200,3764,22,33872
澎湖縣西嶼鄉立幼兒園,西嶼鄉,公立,10,27800,0,2780,0,27800
澎湖縣西嶼鄉立幼兒園竹灣分班,西嶼鄉,公立,10,27800,0,2780,0,27800
澎湖縣馬公市中興國民小學附設幼兒園,馬公市,公立,9,33800,0,3756,0,33800
澎湖縣馬公市立幼兒園,馬公市,公立,9.5,36325,6650,3824,700,36325
澎湖縣馬公市立幼兒園東衛分班,馬公市,公立,9.5,36325,6650,3824,700,36325
澎湖縣馬公市立幼兒園澎南分班,馬公市,公立,9.5,36325,6650,3824,700,36325
