point,area,type,months,total1,total2,monthly1,monthly2,total3
澎湖縣湖西鄉立幼兒園,湖西鄉,公立,10.5,32900,0,3133,0,32900
澎湖縣白沙鄉吉貝國民小學附設幼兒園,白沙鄉,公立,9,33872,200,3764,22,33872
澎湖縣白沙鄉立幼兒園,白沙鄉,公立,10,32200,0,3220,0,32200
澎湖縣白沙鄉立幼兒園吉貝分班,白沙鄉,公立,10,32200,0,3220,0,32200
澎湖縣私立明圓幼兒園,馬公市,準公共化,12,138108,0,11509,0,138108
澎湖縣私立明穗幼兒園,馬公市,私立,12,172400,48000,14367,4000,172400
澎湖縣私立耕讀幼兒園,馬公市,準公共化,12,109752,0,9146,0,109752
澎湖縣私立至美幼兒園,馬公市,私立,12,172400,48000,14367,4000,172400
澎湖縣私立馬幼幼兒園,馬公市,準公共化,12,121560,0,10130,0,121560
澎湖縣西嶼鄉池東國民小學附設幼兒園,西嶼鄉,公立,9,33872,200,3764,22,33872
澎湖縣西嶼鄉立幼兒園,西嶼鄉,公立,10,27800,0,2780,0,27800
澎湖縣西嶼鄉立幼兒園竹灣分班,西嶼鄉,公立,10,27800,0,2780,0,27800
澎湖縣馬公市立幼兒園,馬公市,公立,11,39850,7700,3623,700,39850
澎湖縣馬公市立幼兒園東衛分班,馬公市,公立,11,39850,7700,3623,700,39850
澎湖縣馬公市立幼兒園澎南分班,馬公市,公立,11,39850,7700,3623,700,39850
