point,area,type,months,total1,total2,monthly1,monthly2,total3
台灣積體電路製造股份有限公司職工福利委員會附設臺南市私立台積電幼兒園,善化區,私立,11,144900,24700,13173,2245,144900
嘉藥學校財團法人嘉南藥理大學附設臺南市私立嘉藥幼兒園,仁德區,私立,12,129000,72000,10750,6000,129000
大臺南婦女會附設臺南市私立幼兒園,新營區,準公共化,12,104536,0,8711,0,104536
威爾森文教事業股份有限公司附設臺南市私立威爾森人文藝術幼兒園,東區,私立,12,151200,66000,12600,5500,151200
崑山國際學校財團法人臺南市崑山高級中等學校附設臺南市私立國際幼兒園,北區,準公共化,12,189600,9000,15800,750,189600
社團法人台南市基督教青年會附設臺南市私立公園幼兒園,北區,私立,12,117600,36000,9800,3000,117600
社團法人台南市基督教青年會附設臺南市私立長榮幼兒園,東區,私立,12,120000,1800,10000,150,120000
社團法人台南市基督教青年會附設臺南市私立青年會幼兒園,中西區,私立,12,117000,36000,9750,3000,117000
社團法人台灣樂仁國際蒙特梭利推廣教育協會附設臺南市私立聖功幼兒園,北區,私立,12,164800,22800,13733,1900,164800
私立中華醫事科技大學附設臺南市幼兒園,仁德區,私立,12,108000,105600,9000,8800,108000
私立崑山科技大學附設臺南市幼兒園,永康區,私立,12,118200,27600,9850,2300,118200
臺南光華學校財團法人臺南市光華高級中學附屬臺南市私立光華幼兒園,東區,私立,12,118800,56160,9900,4680,118800
臺南市七股區後港國民小學附設幼兒園,七股區,公立,9.5,34187,200,3599,21,34187
臺南市仁德區長興國民小學附設幼兒園,仁德區,公立,9.5,34187,200,3599,21,34187
臺南市佳里區佳興國民小學附設幼兒園,佳里區,公立,9.5,34187,0,3599,0,34187
臺南市北區大光國民小學附設幼兒園,北區,公立,9.5,34187,0,3599,0,34187
臺南市北門區北門國民小學附設幼兒園,北門區,公立,9.5,34187,0,3599,0,34187
臺南市北門區農會附設臺南市私立幼兒園,北門區,準公共化,12,99840,0,8320,0,99840
臺南市北門區錦湖國民小學附設幼兒園,北門區,公立,9.5,34187,200,3599,21,34187
臺南市南化區瑞峰國民小學附設幼兒園,南化區,公立,9.5,34187,0,3599,0,34187
臺南市南化區西埔國民小學附設幼兒園,南化區,公立,9.5,34187,0,3599,0,34187
臺南市安南區安慶國民小學附設幼兒園,安南區,公立,9.5,34187,0,3599,0,34187
臺南市安定區南安國民小學附設幼兒園,安定區,公立,9.5,34187,0,3599,0,34187
臺南市安平區新南國民小學附設幼兒園,安平區,公立,9.5,34187,200,3599,21,34187
臺南市後壁區後壁國民小學附設幼兒園,後壁區,公立,9.5,34187,200,3599,21,34187
臺南市後壁區新東國民小學附設幼兒園,後壁區,公立,9.5,34187,0,3599,0,34187
臺南市新化區大新國民小學附設幼兒園,新化區,公立,9.5,34187,200,3599,21,34187
臺南市新化區新化國民小學附設幼兒園,新化區,公立,9.5,34187,0,3599,0,34187
臺南市新化區正新國民小學附設幼兒園,新化區,公立,9.5,34187,200,3599,21,34187
臺南市新化區那拔國民小學附設幼兒園,新化區,公立,9.5,34187,0,3599,0,34187
臺南市新營區公誠國民小學附設幼兒園,新營區,公立,9.5,34187,0,3599,0,34187
臺南市新營區農會附設臺南市私立幼兒園,新營區,私立,12,105300,0,8775,0,105300
臺南市東區崇明國民小學附設幼兒園,東區,公立,9.5,34187,200,3599,21,34187
臺南市東區東光國民小學附設幼兒園,東區,公立,9.5,34187,200,3599,21,34187
臺南市東山區東山國民小學附設幼兒園,東山區,公立,9.5,34187,200,3599,21,34187
臺南市歸仁區保西國民小學附設幼兒園,歸仁區,公立,9.5,34187,0,3599,0,34187
臺南市歸仁區歸南國民小學附設幼兒園,歸仁區,公立,9.5,34187,200,3599,21,34187
臺南市永康區崑山國民小學附設幼兒園,永康區,公立,9.5,34187,200,3599,21,34187
臺南市永康區龍潭國民小學附設幼兒園,永康區,公立,9.5,34187,200,3599,21,34187
臺南市玉井區層林國民小學附設幼兒園,玉井區,公立,9.5,34187,0,3599,0,34187
臺南市白河區仙草實驗小學附設幼兒園,白河區,公立,9.5,34187,0,3599,0,34187
臺南市私立上恩幼兒園,永康區,私立,12,134400,36000,11200,3000,134400
臺南市私立上華幼兒園,安南區,私立,12,236800,36000,19733,3000,236800
臺南市私立中美幼兒園,歸仁區,準公共化,12,101444,0,8454,0,101444
臺南市私立中華幼兒園,永康區,準公共化,12,82636,26400,6886,2200,82636
臺南市私立二王幼兒園,永康區,私立,12,96000,0,8000,0,96000
臺南市私立人上人幼兒園,東區,私立,12,294600,48000,24550,4000,294600
臺南市私立仁仁森林幼兒園,安南區,私立,12,165000,52800,13750,4400,165000
臺南市私立仁和幼兒園,東區,準公共化,12,160000,39600,13333,3300,160000
臺南市私立仁德聖兒幼兒園,仁德區,私立,12,139200,0,11600,0,139200
臺南市私立仁愛幼兒園,歸仁區,私立,12,122400,43200,10200,3600,122400
臺南市私立仁義幼兒園,仁德區,準公共化,12,85200,0,7100,0,85200
臺南市私立佑佳幼兒園,安南區,準公共化,12,113072,9000,9423,750,113072
臺南市私立佑幼幼兒園,六甲區,準公共化,12,97992,0,8166,0,97992
臺南市私立何嘉仁幼兒園,永康區,私立,12,175010,26400,14584,2200,175010
臺南市私立佛光山慈航幼兒園,安南區,準公共化,12,132000,33000,11000,2750,132000
臺南市私立佳佳幼兒園,佳里區,準公共化,12,120096,9000,10008,750,120096
臺南市私立佳安幼兒園,楠西區,準公共化,12,100800,9000,8400,750,100800
臺南市私立佳恩幼兒園,中西區,準公共化,12,149000,39600,12417,3300,149000
